Datum,Waterstand,Temperatuur water,B2214004 Luchtdruk,Waterstand gecorrigeerd
2024-11-26 11:00:00,1204.31,13.59,1016.4,1214.3
2024-11-26 10:00:00,1203.79,13.59,1016.4,1213.8
2024-11-26 09:00:00,1203.26,13.59,1015.7,1214
2024-11-26 08:00:00,1202.68,13.59,1015,1214.1
2024-11-26 07:00:00,1202.26,13.58,1014.6,1214.1
2024-11-26 06:00:00,1201.71,13.57,1014.2,1213.9
2024-11-26 05:00:00,1201.09,13.58,1013.9,1213.6
2024-11-26 04:00:00,1200.61,13.58,1013.3,1213.7
2024-11-26 03:00:00,1200.08,13.6,1013.1,1213.4
2024-11-26 02:00:00,1199.46,13.6,1012.5,1213.4
2024-11-26 01:00:00,1198.91,13.6,1012.1,1213.2
2024-11-26 00:00:00,1198.4,13.59,1011.1,1213.7
2024-11-25 23:00:00,1197.52,13.59,1010.2,1213.7
2024-11-25 22:00:00,1196.95,13.6,1009.4,1214
2024-11-25 21:00:00,1196.41,13.62,1008.7,1214.1
2024-11-25 20:00:00,1195.68,13.62,1008,1214.1
2024-11-25 19:00:00,1194.98,13.62,1007,1214.4
2024-11-25 18:00:00,1194.3,13.61,1006.2,1214.5
2024-11-25 17:00:00,1193.72,13.6,1005.3,1214.9
2024-11-25 16:00:00,1192.88,13.61,1004.6,1214.7
2024-11-25 15:00:00,1192.33,13.63,1003.7,1215.1
2024-11-25 14:00:00,1191.77,13.62,1002.6,1215.6
2024-11-25 13:00:00,1191.49,13.63,1002.2,1215.7
2024-11-25 12:00:00,1191.83,13.63,1001.9,1216.4
2024-11-25 11:00:00,1191.62,13.63,1001.1,1217
2024-11-25 10:00:00,1191.32,13.62,1000,1217.8
2024-11-25 09:00:00,1191.25,13.63,999.7,1218.1
2024-11-25 08:00:00,1191.25,13.63,999.2,1218.6
2024-11-25 07:00:00,1191.54,13.64,999.5,1218.6
2024-11-25 06:00:00,1191.74,13.64,1000.2,1218
2024-11-25 05:00:00,1191.88,13.64,1000.4,1218
2024-11-25 04:00:00,1192.05,13.64,1000.9,1217.6
2024-11-25 03:00:00,1192.3,13.65,1001.4,1217.4
2024-11-25 02:00:00,1192.28,13.64,1001.7,1217.1
2024-11-25 01:00:00,1192.35,13.63,1002.1,1216.7
2024-11-25 00:00:00,1192.45,13.65,1002.3,1216.6
2024-11-24 23:00:00,1192.68,13.64,1002.5,1216.7
2024-11-24 22:00:00,1192.7,13.63,1003,1216.2
2024-11-24 21:00:00,1192.8,13.64,1003.4,1215.9
2024-11-24 20:00:00,1192.75,13.64,1003.6,1215.6
2024-11-24 19:00:00,1192.67,13.66,1004,1215.1
2024-11-24 18:00:00,1192.53,13.65,1003.8,1215.2
2024-11-24 17:00:00,1192.51,13.66,1003.9,1215.1
2024-11-24 16:00:00,1192.38,13.65,1004,1214.8
2024-11-24 15:00:00,1192.37,13.67,1003.8,1215
2024-11-24 14:00:00,1192.37,13.66,1003.8,1215
2024-11-24 13:00:00,1192.31,13.67,1004.8,1213.9
2024-11-24 12:00:00,1192.13,13.67,1005.2,1213.3
2024-11-24 11:00:00,1191.84,13.66,1005.2,1213
2024-11-24 10:00:00,1191.49,13.69,1005.5,1212.4
2024-11-24 09:00:00,1190.78,13.66,1005.4,1211.8
2024-11-24 08:00:00,1190.49,13.67,1005.3,1211.6
2024-11-24 07:00:00,1190.31,13.67,1004.8,1211.9
2024-11-24 06:00:00,1190.21,13.68,1004.9,1211.7
2024-11-24 05:00:00,1189.74,13.67,1005.1,1211
2024-11-24 04:00:00,1189.45,13.67,1005.1,1210.7
2024-11-24 03:00:00,1189.21,13.65,1005.6,1210
2024-11-24 02:00:00,1188.93,13.67,1005.2,1210.1
2024-11-24 01:00:00,1188.63,13.68,1005.4,1209.6
2024-11-24 00:00:00,1188.33,13.68,1004.7,1210
2024-11-23 23:00:00,1188.52,13.65,1004.4,1210.5
2024-11-23 22:00:00,1188.98,13.66,1004.4,1210.9
2024-11-23 21:00:00,1189.17,13.66,1005.2,1210.3
2024-11-23 20:00:00,1189.39,13.67,1005.8,1209.9
2024-11-23 19:00:00,1189.61,13.66,1006.3,1209.6
2024-11-23 18:00:00,1190.01,13.65,1006.8,1209.5
2024-11-23 17:00:00,1190.49,13.66,1007.4,1209.4
2024-11-23 16:00:00,1191.2,13.66,1009,1208.5
2024-11-23 15:00:00,1191.7,13.65,1010,1208
2024-11-23 14:00:00,1192.3,13.66,1012,1206.6
2024-11-23 13:00:00,1192.7,13.67,1013.1,1205.9
2024-11-23 12:00:00,1192.9,13.67,1014.4,1204.7
2024-11-23 11:00:00,1192.86,13.66,1015.7,1203.4
2024-11-23 10:00:00,1192.64,13.67,1015.9,1202.9
2024-11-23 09:00:00,1192.34,13.68,1016.2,1202.3
2024-11-23 08:00:00,1191.92,13.65,1016.2,1201.9
2024-11-23 07:00:00,1191.51,13.66,1016.3,1201.4
2024-11-23 06:00:00,1191.03,13.65,1016.6,1200.6
